Model,Experiment,Accuracy,AUC,F1
Logistic Regression,Full,0.9514492753623188,0.9896376044568245,0.9544133110657512
Random Forest,Full,0.9824110671936759,0.9986202472144847,0.9832696284228335
Logistic Regression,MI (Top 15),0.658102766798419,0.7714542566155989,0.7548185941043084
Random Forest,MI (Top 15),0.8484189723320158,0.9224434453342618,0.8577082431513202
Logistic Regression,RFE (Top 15),0.8697628458498023,0.9530159818941505,0.8802471379247683
Random Forest,RFE (Top 15),0.9783926218708827,0.9978058582869082,0.9795076846182682
