Model,Experiment,Accuracy,Precision,Recall,F1
Logistic Regression,Full,0.9549782457910335,0.9475429975429975,0.964125,0.9557620817843866
Random Forest,Full,0.9851188599533388,0.987321114737635,0.983125,0.9852185895026933
Logistic Regression,MI (Top 15),0.6284128885806167,0.6730737637588303,0.512125,0.5816710442251721
Random Forest,MI (Top 15),0.9357462639510687,0.9292829910220145,0.9445,0.9368297067757734
Logistic Regression,RFE (Top 15),0.9088845450532821,0.8880994671403197,0.9375,0.9121313469139556
Random Forest,RFE (Top 15),0.9803266284128885,0.978824115595416,0.98225,0.9805340653855752
